country,countryLabel,leader,leaderLabel,age
http://www.wikidata.org/entity/Q334,Singapore,http://www.wikidata.org/entity/Q57643,Lee Hsien Loong,1952-02-10T00:00:00Z
http://www.wikidata.org/entity/Q683,Samoa,http://www.wikidata.org/entity/Q57723,Tuila'epa Sa'ilele Malielegaoi,1945-04-14T00:00:00Z
http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q57775,Boyko Borisov,1959-06-13T00:00:00Z
http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q57788,Hun Sen,1952-08-05T00:00:00Z
http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q57792,Mark Rutte,1967-02-14T00:00:00Z
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,http://www.wikidata.org/entity/Q57800,Ralph Gonsalves,1946-08-08T00:00:00Z
http://www.wikidata.org/entity/Q784,Dominica,http://www.wikidata.org/entity/Q57823,Roosevelt Skerrit,1972-06-08T00:00:00Z
http://www.wikidata.org/entity/Q712,Fiji,http://www.wikidata.org/entity/Q57830,Frank Bainimarama,1954-04-27T00:00:00Z
http://www.wikidata.org/entity/Q717,Venezuela,http://www.wikidata.org/entity/Q58132,Nicolás Maduro,1962-11-23T00:00:00Z
http://www.wikidata.org/entity/Q398,Bahrain,http://www.wikidata.org/entity/Q58140,Salman bin Hamad bin Isa Al Khalifa,1969-10-21T00:00:00Z
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q61053,Olaf Scholz,1958-06-14T00:00:00Z
http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q123939,Alain Berset,1972-04-09T00:00:00Z
http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q180589,Boris Johnson,1964-06-19T00:00:00Z
http://www.wikidata.org/entity/Q114,Kenya,http://www.wikidata.org/entity/Q196070,Uhuru Kenyatta,1961-10-26T00:00:00Z
http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q294460,Mario Draghi,1947-09-03T00:00:00Z
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q316901,Edi Rama,1964-07-04T00:00:00Z
