scientist,scientistLabel,sitelinks,country,countryLabel
http://www.wikidata.org/entity/Q5074942,Charles Abercrombie Smith,2,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q18391732,Derek Keir,2,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q24039857,Jan H van der Merwe,2,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q58323070,Kiara Nirghin,2,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q84305048,Rein Arndt,2,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q86914210,Zahra Doumandji,2,http://www.wikidata.org/entity/Q262,Algeria
http://www.wikidata.org/entity/Q7397798,Sadek Hilal,1,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q6926286,Moustapha Kassem,1,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q52160551,Chokri Cherif,1,http://www.wikidata.org/entity/Q948,Tunisia
http://www.wikidata.org/entity/Q68171198,Q68171198,1,http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q55386669,Thandiwe Mweetwa,1,http://www.wikidata.org/entity/Q953,Zambia
http://www.wikidata.org/entity/Q7242761,Pride Chigwedere,1,http://www.wikidata.org/entity/Q954,Zimbabwe
http://www.wikidata.org/entity/Q47001753,Grace M. Kioko,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q47001776,Esther N. Kioko,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q55262938,Claire M. Mugasa,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q55262972,Nelly Ndungu,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q60516431,Elizabeth Mwashuma,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q13144767,Q13144767,1,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q69685837,Rosemary Chepkorir Sang,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q74034442,Maggie Opondo,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q76469472,Rose Mutiso,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q82451062,Davy Kiprotich Koech,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q104903365,Richard Samson Odingo,1,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q44147107,Fred T. Sai,1,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q27826289,Fatima Denton,1,http://www.wikidata.org/entity/Q1005,The Gambia
http://www.wikidata.org/entity/Q28497463,Germain Sotoing Taﾃｯwe,1,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q58880633,Ernest Simo,1,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q90952625,Pelkins Ajanoh,1,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q48955493,Q48955493,1,http://www.wikidata.org/entity/Q1027,Mauritius
http://www.wikidata.org/entity/Q3351852,Omar Fassi-Fehri,1,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q15433384,Jeff Unaegbu,1,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q21062192,Kehinde Oluwatoyin Ladipo,1,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q52004724,Adeniyi Sulaimon Gbadegesin,1,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q100230347,Kayode Oyedode Adebowale,1,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q7417487,Sandy Stevens Tickodri-Togboa,1,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q106292187,Maria de Jesus Trovoada,1,http://www.wikidata.org/entity/Q1039,Sﾃ｣o Tomﾃｩ and Prﾃｭncipe
