,country,number,item,item_id,shortform,pageid,wikidata_description
980,El Salvador,13.0,Pedro José Escalón,http://www.wikidata.org/entity/Q887454,wd:Q887454,2234681,President of El Salvador (1847-1923)
981,El Salvador,12.0,Francisco Gavidia,http://www.wikidata.org/entity/Q2920418,wd:Q2920418,10863036,Salvadoran writer
982,El Salvador,12.0,Dionisio de Herrera,http://www.wikidata.org/entity/Q1359457,wd:Q1359457,10740810,First President of Honduras
983,Honduras,12.0,Dionisio de Herrera,http://www.wikidata.org/entity/Q1359457,wd:Q1359457,10740810,First President of Honduras
984,El Salvador,12.0,Arturo Araujo,http://www.wikidata.org/entity/Q715109,wd:Q715109,2234752,President of El Salvador (1878-1967)
985,El Salvador,12.0,Jorge Meléndez Ramírez,http://www.wikidata.org/entity/Q881128,wd:Q881128,2234746,President of El Salvador (1871-1953)
986,Equatorial Guinea,10.0,Bonifacio Ondó Edu,http://www.wikidata.org/entity/Q732636,wd:Q732636,1062508,Prime Minister of Equatorial Guinea (1922-1969)
987,Equatorial Guinea,6.0,Atanasio Ndongo,http://www.wikidata.org/entity/Q2181164,wd:Q2181164,24378563,Equatoguinean writer
988,Equatorial Guinea,4.0,Malabo Lopelo Melaka,http://www.wikidata.org/entity/Q6740779,wd:Q6740779,24767201,Bubi king
989,Equatorial Guinea,4.0,Acacio Mańé Elá,http://www.wikidata.org/entity/Q5655600,wd:Q5655600,47221362,politician
990,Equatorial Guinea,2.0,Edward Thaddeus Barleycorn Barber,http://www.wikidata.org/entity/Q5345579,wd:Q5345579,15211959,Medical doctor
991,Equatorial Guinea,2.0,William Barleycorn,http://www.wikidata.org/entity/Q8005067,wd:Q8005067,7724177,Equatoguinean missionary
992,Eritrea,6.0,Zerai Deres,http://www.wikidata.org/entity/Q8069367,wd:Q8069367,24065429,Italian anti-fascist
993,Eritrea,6.0,Idris Awate Hamid,http://www.wikidata.org/entity/Q961510,wd:Q961510,7006883,Eritrean soldier (1910-1962)
994,Eritrea,5.0,Felix Mary Ghebreamlak,http://www.wikidata.org/entity/Q1403649,wd:Q1403649,26636362,Ethiopian Cistercian monk and priest
995,Eritrea,3.0,Tewolde-Medhin Gebre-Medhin,http://www.wikidata.org/entity/Q16030037,wd:Q16030037,14856321,"Ethiopian clergy, educator, translator"
996,Eritrea,3.0,Renato Signorini,http://www.wikidata.org/entity/Q18768342,wd:Q18768342,45419461,"Italian sculptor, painter and medalist (1902-1966)"
997,Eritrea,3.0,Bahta Hagos,http://www.wikidata.org/entity/Q4842909,wd:Q4842909,9996091,Eritrean soldier
998,Eritrea,2.0,Ambaye Wolde Mariam,http://www.wikidata.org/entity/Q26924473,wd:Q26924473,51590351,Ethiopian politician (1906-1954)
999,Eritrea,2.0,Ibrahim Mukhtar,http://www.wikidata.org/entity/Q5984678,wd:Q5984678,46291287,Mufti of Eritrea
1000,Eritrea,1.0,Woldemichael Solomon,http://www.wikidata.org/entity/Q16885788,wd:Q16885788,42574010,Eritrean military leader and nationalist
1001,Eritrea,1.0,Abdulkadir Kebire,http://www.wikidata.org/entity/Q15997798,wd:Q15997798,38597984,Eritrean politician
1002,Estonia,68.0,Alfred Rosenberg,http://www.wikidata.org/entity/Q75849,wd:Q75849,50050,"Baltic German architect, Nazi politician and ideologue (1893-1946)"
1003,Estonia,57.0,Fabian Gottlieb von Bellingshausen,http://www.wikidata.org/entity/Q76754,wd:Q76754,562598,"officer in the Imperial Russian Navy, cartographer and explorer"
1004,Estonia,54.0,Heinrich Lenz,http://www.wikidata.org/entity/Q154325,wd:Q154325,563540,Russian physicist
1005,Estonia,52.0,Konstantin Päts,http://www.wikidata.org/entity/Q299114,wd:Q299114,1065429,Estonian politician
1006,Estonia,50.0,Karl Ernst von Baer,http://www.wikidata.org/entity/Q57190,wd:Q57190,17304,Baltic German scientist from Estonia (1792-1876)
1007,Estonia,45.0,Lydia Koidula,http://www.wikidata.org/entity/Q237056,wd:Q237056,873406,Estonian poet
1008,Estonia,43.0,Friedrich Reinhold Kreutzwald,http://www.wikidata.org/entity/Q333900,wd:Q333900,764876,"Estonian writer, author of the national epic Kalevipoeg"
1009,Estonia,40.0,Adolf von Harnack,http://www.wikidata.org/entity/Q164699,wd:Q164699,242178,Baltic German theologian and prominent church historian
1010,Estonia,38.0,A. H. Tammsaare,http://www.wikidata.org/entity/Q353637,wd:Q353637,388199,Estonian writer
1011,Estonia,37.0,Wolfgang Köhler,http://www.wikidata.org/entity/Q213672,wd:Q213672,286151,German-American psychologist and phenomenologist (1887-1967)
1012,Estonia,35.0,Adam Johann von Krusenstern,http://www.wikidata.org/entity/Q160888,wd:Q160888,40387505,"Baltic German admiral and explorer in Russian service, who led the first Russian circumnavigation of the globe"
