0,1,2,3,4,5
Israel,"1,017",632,4,5,Egypt: 266ﾂkm (165ﾂmi)ﾂGaza Strip (state of palestine):[24] 51ﾂkm (32ﾂmi)ﾂJordan: 238ﾂkm (148ﾂmi)ﾂLebanon: 79ﾂkm (49ﾂmi)ﾂSyria: 76ﾂkm (47ﾂmi)ﾂWest Bank ( state of Palestine):[24] 307ﾂkm (191ﾂmi)
Italy,"1,932","1,200",7,6,Austria: 430ﾂkm (270ﾂmi)ﾂFrance: 488ﾂkm (303ﾂmi)ﾂSan Marino: 39ﾂkm (24ﾂmi)ﾂSlovenia: 232ﾂkm (144ﾂmi)ﾂﾂSwitzerland (2):[32] 740ﾂkm (460ﾂmi)ﾂﾂVatican City: 3.2ﾂkm (2.0ﾂmi)
Jamaica,0,0,0,0,
Japan,0,0,0,0,
Jordan,"1,635","1,016",5,5,Iraq: 181ﾂkm (112ﾂmi)ﾂIsrael: 238ﾂkm (148ﾂmi)ﾂSaudi Arabia: 744ﾂkm (462ﾂmi)ﾂSyria: 375ﾂkm (233ﾂmi)ﾂWest Bank (State of Palestine):[24] 97ﾂkm (60ﾂmi)
Kazakhstan,"12,012","7,464",5,5,"People's Republic of China: 1,533ﾂkm (953ﾂmi)ﾂKyrgyzstan: 1,051ﾂkm (653ﾂmi)ﾂRussia: 6,846ﾂkm (4,254ﾂmi)ﾂTurkmenistan: 379ﾂkm (235ﾂmi)ﾂUzbekistan: 2,203ﾂkm (1,369ﾂmi)"
Kenya,"3,477","2,161",5,5,Ethiopia: 861ﾂkm (535ﾂmi)ﾂSomalia: 682ﾂkm (424ﾂmi)ﾂSouth Sudan: 232ﾂkm (144ﾂmi)ﾂTanzania: 769ﾂkm (478ﾂmi)ﾂUganda: 933ﾂkm (580ﾂmi)
Kiribati,0,0,0,0,
North Korea,"1,673","1,040",3,3,"People's Republic of China: 1,416ﾂkm (880ﾂmi)ﾂSouth Korea: 238ﾂkm (148ﾂmi)ﾂRussia: 19ﾂkm (12ﾂmi)"
South Korea,238,148,1,1,North Korea: 238ﾂkm (148ﾂmi)
Kosovo[4],701,436,4,4,Albania: 112ﾂkm (70ﾂmi)ﾂMontenegro: 79ﾂkm (49ﾂmi)ﾂNorth Macedonia: 159ﾂkm (99ﾂmi)ﾂSerbia: 352ﾂkm (219ﾂmi)
Kuwait,462,287,2,2,Iraq: 240ﾂkm (150ﾂmi)ﾂSaudi Arabia: 222ﾂkm (138ﾂmi)
Kyrgyzstan,"3,878","2,410",4,4,"People's Republic of China: 858ﾂkm (533ﾂmi)ﾂKazakhstan: 1,051ﾂkm (653ﾂmi)ﾂTajikistan (3):[33] 870ﾂkm (540ﾂmi)ﾂUzbekistan (6):[34] 1,099ﾂkm (683ﾂmi)"
Laos,"5,083","3,158",5,5,"Cambodia: 541ﾂkm (336ﾂmi)ﾂPeople's Republic of China: 423ﾂkm (263ﾂmi)ﾂMyanmar: 235ﾂkm (146ﾂmi)ﾂThailand: 1,754ﾂkm (1,090ﾂmi)ﾂVietnam: 2,130ﾂkm (1,320ﾂmi)"
Latvia,"1,150",710,4,4,Belarus: 141ﾂkm (88ﾂmi)ﾂEstonia: 339ﾂkm (211ﾂmi)ﾂLithuania: 453ﾂkm (281ﾂmi)ﾂRussia: 217ﾂkm (135ﾂmi)
Lebanon,454,282,2,2,Israel: 79ﾂkm (49ﾂmi)ﾂSyria: 375ﾂkm (233ﾂmi)
Lesotho,909,565,1,1,South Africa: 909ﾂkm (565ﾂmi)
Liberia,"1,585",985,3,3,Guinea: 563ﾂkm (350ﾂmi)ﾂCﾃｴte d'Ivoire: 716ﾂkm (445ﾂmi)ﾂSierra Leone: 306ﾂkm (190ﾂmi)
Libya,"4,348","2,702",6,6,"Algeria: 982ﾂkm (610ﾂmi)ﾂChad: 1,055ﾂkm (656ﾂmi)ﾂEgypt: 1,115ﾂkm (693ﾂmi)ﾂNiger: 354ﾂkm (220ﾂmi)ﾂSudan: 383ﾂkm (238ﾂmi)ﾂTunisia: 459ﾂkm (285ﾂmi)"
Liechtenstein,76,47,2,2,Austria: 34ﾂkm (21ﾂmi)ﾂﾂSwitzerland: 41ﾂkm (25ﾂmi)
Lithuania,"1,273",791,4,4,Belarus: 502ﾂkm (312ﾂmi)ﾂLatvia: 453ﾂkm (281ﾂmi)ﾂPoland: 91ﾂkm (57ﾂmi)ﾂRussia:[35] 227ﾂkm (141ﾂmi)
Luxembourg,359,223,3,3,Belgium: 148ﾂkm (92ﾂmi)ﾂFrance: 73ﾂkm (45ﾂmi)ﾂGermany: 138ﾂkm (86ﾂmi)
China,0.34,0.21,1,1,People's Republic of China: 0.34ﾂkm (0.21ﾂmi)
Madagascar,0,0,0,0,
Portugal,0,0,0,0,
Malawi,"2,881","1,790",3,3,"Mozambique: 1,569ﾂkm (975ﾂmi)ﾂTanzania: 475ﾂkm (295ﾂmi)ﾂZambia: 837ﾂkm (520ﾂmi)"
